key,original,translated
ipv6_summary,IPv6 tunnel preference.,
ipv6_title,IPv6,
ipv6_values:1,yes,
ipv6_values:2,no,
ipv6_values:3,default,
issued_by,Issued by:,
issued_on,Issued on:,
issued_to,Issued to:,
last_pkt_recv,Packet received,
log_pause,Pause,
log_resume,Resume,
log_title,KATUN VPN Log File,
lpr_1_sec_ago,1 second ago,
lpr_gt_1_hour_ago,> 1 hour ago,
lpr_gt_n_min_ago,> %d minutes ago,
lpr_lt_1_sec_ago,< 1 second ago,
lpr_n_sec_ago,%d seconds ago,
main_summary,Press update file and use it (Internet connection is required.),
main_title,Welcome to KATUN VPN,
minimize_exit,MINIMIZE,
more_menu,Menu more,
need_creds_error,KATUN VPN : credentials required but none provided,
no_profile_types,No recognized profile types available,
no_profiles_loaded,WelCome,
notification_initial_content,KATUN VPN,
ok,OK,
openvpn_ad,VPN Solution for your Business,
openvpn_link,http://KATUN VPN.net/as/,
openvpn_settings,Settings,
options,Add HTTP Payload,
org_name,Organization:,
org_unit,Organizational unit:,
password,Password,
password_int,Password,
password_save_prompt,Save,
password_toggle_content_description,Toggle password visibility,
path_password_eye,"M12,4.5C7,4.5 2.73,7.61 1,12c1.73,4.39 6,7.5 11,7.5s9.27,-3.11 11,-7.5c-1.73,-4.39 -6,-7.5 -11,-7.5zM12,17c-2.76,0 -5,-2.24 -5,-5s2.24,-5 5,-5 5,2.24 5,5 -2.24,5 -5,5zM12,9c-1.66,0 -3,1.34 -3,3s1.34,3 3,3 3,-1.34 3,-3 -1.34,-3 -3,-3z",
path_password_eye_mask_strike_through,"M2,4.27 L19.73,22 L22.27,19.46 L4.54,1.73 L4.54,1 L23,1 L23,23 L1,23 L1,4.27 Z",
path_password_eye_mask_visible,"M2,4.27 L2,4.27 L4.54,1.73 L4.54,1.73 L4.54,1 L23,1 L23,23 L1,23 L1,4.27 Z",
path_password_strike_through,"M3.27,4.27 L19.74,20.74",
pause,KATUN VPN : Pausing (waiting for network),
pause_vpn_on_blanked_screen_summary,Pause VPN when screen is blanked,
pause_vpn_on_blanked_screen_title,Battery Saver,
payload,Payload,
pem_password_fail,KATUN VPN : bad private key password,
pk_password,Private Key Password:,
pk_password_save_prompt,Save,
pr,Adaptive,
preferences,Setting,
privatetunnel_ad,Your Secure and Private Path to the Internet,
privatetunnel_import,https://www.privatetunnel.com/index.php/profiledownload.html,
privatetunnel_link,https://www.privatetunnel.com/,
profile_conflict,KATUN VPN : profile conflicts with one that is already connected,
profile_context_cancel,Cancel,
profile_context_forget_creds,Forget Credentials,
profile_context_menu_change_profile,Select Another Profile,
profile_context_menu_create_shortcut,Create Connect Shortcut,
profile_context_menu_delete,Delete Profile,
profile_context_menu_rename,Rename Profile,
profile_context_none_selected,No Profile Selected,
profile_delete_failed,KATUN VPN : Delected profile failed,
profile_delete_success,KATUN VPN : Delected profile success,
profile_filename_error,KATUN VPN : Profile filename must have extension .ovpn,
profile_import_error,KATUN VPN : Import profile Error,
profile_import_invalid_cert,Site has invalid SSL certificate,
profile_import_success,KATUN VPN : Import profile success,
profile_merge_exception,KATUN VPN : Import profile failed,
profile_merge_multiple_ref_fail,Error reading multiple files referenced by profile,
profile_merge_ovpn_ext_fail,KATUN VPN : Profile filename must have extension .ovpn,
profile_merge_ovpn_file_fail,Error reading profile,
profile_merge_ref_fail,KATUN VPN : Error reading file referenced by profile,
profile_not_found,KATUN VPN : KATUN VPN profile not found,
profile_parse_error,KATUN VPN : Error parsing profile,
profile_prompt,KATUN VPN Profile:,
profile_rename_failed,Failed to rename profile,
profile_rename_success,Profile successfully renamed,
profile_too_large,Profile is too large (cannot exceed %d bytes),
profile_type_autologin,Autologin profile,
profile_type_epki,External certificate profile,
profile_type_standard,Standard profile,
profile_update_success,KATUN VPN : Update profile success,
profile_write_error,Error writing KATUN VPN profile to app storage,
progress_message,Loading...,
progress_title,Please wait,
proxy_allow_cleartext_auth_checkbox,Allow Basic authentication (potentially insecure),
proxy_cancel_button,Cancel,
proxy_context_cancel,Cancel,
proxy_context_change_proxy,Select Another Proxy,
proxy_context_delete,Delete Proxy,
proxy_context_edit,Edit Proxy,
proxy_context_expired,Proxy Login Expired,
proxy_context_forget_creds,Forget Credentials,
proxy_context_none_selected,No Proxy Selected,
proxy_creds_title,Proxy Credentials Required for %s,
proxy_delete_confirm_cancel,Cancel,
proxy_delete_confirm_title,Confirm Delete Proxy,
proxy_delete_confirm_yes,Delete,
proxy_error,KATUN VPN : Proxy error,
proxy_friendly_name,Proxy Friendly Name (optional),
proxy_host,Proxy Hostname or IP Address,
proxy_need_creds,KATUN VPN : Proxy credentials required,
proxy_none,None,
proxy_ok_button,Submit,
proxy_password,Password,
proxy_port,Proxy Port Number,
proxy_prev_creds_not_accepted,Note: previous credentials were not accepted,
proxy_prompt,Proxy,
proxy_remember_creds_prompt,Remember Credentials,
proxy_save_button,Save,
proxy_title_add,Add HTTP Proxy settings,
proxy_title_modify,Edit HTTP Proxy settings,
proxy_username,Username,
raw_stats_title,KATUN VPN Raw Statistics,
reconnecting,KATUN VPN : Reconnecting...,
remind,Confirmation!,
remind_host,Please enter the host!,
rename_profile_cancel,Cancel,
rename_profile_title,Rename Profile,
rename_profile_yes,Rename,
request_method,Request Method,
reset,Reset settings,
reset_all,Reset all settings?,
resolve,KATUN VPN : Looking up DNS name,
resume,KATUN VPN : Resuming after pause,
rsa_sign,KATUN VPN : Accessing Keychain,
save,Save,
search_menu_title,Search,
select_certificate_message,This profile doesn't include a client certificate. Continue connecting without a certificate or select one from the Android keychain?,
select_certificate_no,Continue,
select_certificate_title,Select Certificate,
select_certificate_yes,Select Certificate,
select_pkcs12,Please select PKCS#12 file to import,
select_profile,Please select .ovpn profile to import,
serial_number,Serial number:,
server_host,Server,
server_ip,Server IP,
server_port,Port,
server_prompt,Server:,
server_proto,Protocol,
setting_payload,Setting Payload,
sha1_fingerprint,SHA-1 fingerprint:,
sha256_fingerprint,SHA-256 fingerprint:,
shortcut_no_profiles,[No profiles loaded],
show_log,Show log file,
show_raw_stats,Show raw stats,
ssl_certificate,Security certificate,
ssl_certificate_is_valid,This certificate is valid.,
st1,No,
st2,Full,
st3,Downlink only,
stats_group_header,Connection stats:,
status_bar_notification_info_overflow,999+,
store_picture_message,Allow Ad to store image in Picture gallery?,
store_picture_title,Save image,
tap_not_supported,TAP-based tunnels are not supported,
tap_unsupported_error,"Sorry, but the Android VPN API doesn't currently support TAP-based tunnels.",
tap_unsupported_title,Problem creating TAP tunnel,
tl1,Disabled,
tl2,Profile Default,
tls_version_min,KATUN VPN server TLS version is too low,
tls_version_min_override_array:1,TLS 1.0,
tls_version_min_override_array:2,TLS 1.1,
tls_version_min_override_array:3,TLS 1.2,
tls_version_min_override_summary,Select the minimum SSL/TLS version for communication with the KATUN VPN Server.,
tls_version_min_override_title,Minimum TLS version,
tls_version_min_override_values:1,disabled,
tls_version_min_override_values:2,default,
